date,daily_net,stock,yoy,yoy_ma50
2020-07-30,50.0,3706.6,,
2020-07-31,20.0,3726.6,,
2020-08-01,0.0,3726.6,,
2020-08-02,0.0,3726.6,,
2020-08-03,-100.0,3626.6,,
2020-08-04,-80.0,3546.6,,
2020-08-05,-30.0,3516.6,,
2020-08-06,-50.0,3466.6,,
2020-08-07,-10.0,3456.6,,
2020-08-08,0.0,3456.6,,
2020-08-09,0.0,3456.6,,
2020-08-10,10.0,3466.6,,
2020-08-11,50.0,3516.6,,
2020-08-12,140.0,3656.6,,
2020-08-13,150.0,3806.6,,
2020-08-14,140.0,3946.6,,
2020-08-15,0.0,3946.6,,
2020-08-16,0.0,3946.6,,
2020-08-17,740.0,4686.6,,
2020-08-18,50.0,4736.6,4716.6,4716.6
2020-08-19,10.0,4746.6,4676.6,4696.6
2020-08-20,10.0,4756.6,4626.6,4673.3
2020-08-21,-150.0,4606.6,4416.6,4609.1
2020-08-22,0.0,4606.6,4416.6,4570.6
2020-08-23,0.0,4606.6,4416.6,4544.9
2020-08-24,110.0,4716.6,4526.6,4542.3
2020-08-25,200.0,4916.6,4596.6,4549.1
2020-08-26,-100.0,4816.6,4466.6,4539.9
2020-08-27,-60.0,4756.6,4406.6,4526.6
2020-08-28,50.0,4806.6,4516.6,4525.7
2020-08-29,0.0,4806.6,4516.6,4524.9
2020-08-30,0.0,4806.6,4516.6,4524.3
2020-08-31,-80.0,4726.6,4436.6,4518.0
2020-09-01,-230.0,4496.6,4206.6,4497.3
2020-09-02,-180.0,4316.6,4106.6,4472.8
2020-09-03,20.0,4336.6,4186.6,4456.0
2020-09-04,50.0,4386.6,4236.6,4443.8
2020-09-05,0.0,4386.6,4196.6,4430.8
2020-09-06,0.0,4386.6,4196.6,4419.1
2020-09-07,20.0,4406.6,4216.6,4409.5
2020-09-08,100.0,4506.6,4196.6,4399.8
2020-09-09,100.0,4606.6,4216.6,4391.8
2020-09-10,20.0,4626.6,4206.6,4384.1
2020-09-11,-10.0,4616.6,4196.6,4376.6
2020-09-12,0.0,4616.6,4236.6,4371.2
2020-09-13,0.0,4616.6,4236.6,4366.2
2020-09-14,-20.0,4596.6,4216.6,4360.9
2020-09-15,430.0,5026.6,4766.6,4374.9
2020-09-16,0.0,5026.6,4646.6,4383.9
2020-09-17,-230.0,4796.6,4416.6,4385.0
2020-09-18,80.0,4876.6,4496.6,4388.5
2020-09-19,0.0,4876.6,4376.6,4388.1
2020-09-20,0.0,4876.6,4376.6,4387.8
2020-09-21,-80.0,4796.6,4296.6,4385.2
2020-09-22,350.0,5146.6,4546.6,4389.7
2020-09-23,80.0,5226.6,4586.6,4395.0
2020-09-24,10.0,5236.6,4606.6,4400.5
2020-09-25,-20.0,5216.6,4566.6,4404.8
2020-09-26,0.0,5216.6,4576.6,4409.1
2020-09-27,20.0,5236.6,4596.6,4413.7
2020-09-28,40.0,5276.6,4636.6,4419.0
2020-09-29,-100.0,5176.6,4556.6,4422.2
2020-09-30,-50.0,5126.6,4506.6,4424.1
2020-10-01,0.0,5126.6,4506.6,4425.9
2020-10-02,-60.0,5066.6,4446.6,4426.4
2020-10-03,0.0,5066.6,4526.6,4428.5
2020-10-04,0.0,5066.6,4526.6,4430.6
2020-10-05,0.0,5066.6,4526.6,4432.5
2020-10-06,-150.0,4916.6,4456.6,4433.0
2020-10-07,-100.0,4816.6,4396.6,4426.6
2020-10-08,-120.0,4696.6,4296.6,4419.0
2020-10-09,-90.0,4606.6,4226.6,4411.0
2020-10-10,0.0,4606.6,4256.6,4407.8
2020-10-11,-20.0,4586.6,4236.6,4404.2
2020-10-12,-40.0,4546.6,4196.6,4399.8
2020-10-13,-100.0,4446.6,4096.6,4391.2
2020-10-14,-50.0,4396.6,4046.6,4380.2
2020-10-15,550.0,4946.6,4396.6,4378.8
2020-10-16,-150.0,4796.6,4246.6,4375.6
2020-10-17,0.0,4796.6,4216.6,4369.6
2020-10-18,0.0,4796.6,4216.6,4363.6
2020-10-19,50.0,4846.6,4266.6,4358.6
2020-10-20,70.0,4916.6,4286.6,4355.6
2020-10-21,80.0,4996.6,4366.6,4358.8
2020-10-22,0.0,4996.6,4166.6,4360.0
2020-10-23,20.0,5016.6,4126.6,4358.8
2020-10-24,0.0,5016.6,4126.6,4356.6
2020-10-25,0.0,5016.6,4126.6,4355.2
2020-10-26,-50.0,4966.6,4076.6,4352.8
2020-10-27,30.0,4996.6,4156.6,4351.6
2020-10-28,40.0,5036.6,4196.6,4351.6
2020-10-29,90.0,5126.6,4486.6,4357.0
2020-10-30,30.0,5156.6,4576.6,4364.4
2020-10-31,0.0,5156.6,4606.6,4372.6
2020-11-01,0.0,5156.6,4606.6,4380.0
2020-11-02,50.0,5206.6,4656.6,4388.4
2020-11-03,20.0,5226.6,4676.6,4397.6
2020-11-04,0.0,5226.6,4276.6,4387.8
2020-11-05,-510.0,4716.6,3766.6,4370.2
2020-11-06,-100.0,4616.6,3666.6,4355.2
2020-11-07,0.0,4616.6,3666.6,4338.6
2020-11-08,0.0,4616.6,3666.6,4324.4
2020-11-09,-50.0,4566.6,3616.6,4309.2
2020-11-10,0.0,4566.6,3616.6,4295.6
2020-11-11,30.0,4596.6,3646.6,4277.6
2020-11-12,90.0,4686.6,3736.6,4260.6
2020-11-13,160.0,4846.6,3896.6,4246.4
2020-11-14,0.0,4846.6,3696.6,4229.0
2020-11-15,-200.0,4646.6,3496.6,4207.4
2020-11-16,800.0,5446.6,4296.6,4201.4
2020-11-17,-70.0,5376.6,4046.6,4189.6
2020-11-18,-50.0,5326.6,3996.6,4178.4
2020-11-19,-50.0,5276.6,3946.6,4167.2
2020-11-20,-80.0,5196.6,3866.6,4154.4
2020-11-21,0.0,5196.6,3866.6,4142.8
2020-11-22,0.0,5196.6,3866.6,4129.6
2020-11-23,40.0,5236.6,3906.6,4117.2
2020-11-24,20.0,5256.6,4106.6,4108.8
2020-11-25,20.0,5276.6,4126.6,4102.2
2020-11-26,10.0,5286.6,4136.6,4097.0
2020-11-27,40.0,5326.6,4176.6,4094.6
2020-11-28,0.0,5326.6,4176.6,4093.6
2020-11-29,0.0,5326.6,4176.6,4092.0
2020-11-30,310.0,5636.6,4486.6,4097.0
2020-12-01,-50.0,5586.6,4436.6,4101.8
2020-12-02,-110.0,5476.6,4326.6,4106.4
2020-12-03,-70.0,5406.6,4256.6,4110.6
2020-12-04,-110.0,5296.6,4146.6,4105.6
2020-12-05,0.0,5296.6,3846.6,4097.6
2020-12-06,-300.0,4996.6,3546.6,4084.2
2020-12-07,-100.0,4896.6,3446.6,4068.8
2020-12-08,40.0,4936.6,3486.6,4053.2
2020-12-09,10.0,4946.6,3496.6,4037.4
2020-12-10,0.0,4946.6,3496.6,4020.0
2020-12-11,0.0,4946.6,3496.6,4006.6
2020-12-12,0.0,4946.6,3496.6,3994.0
2020-12-13,0.0,4946.6,3496.6,3981.4
2020-12-14,-30.0,4916.6,3466.6,3968.2
2020-12-15,900.0,5816.6,4066.6,3968.0
2020-12-16,-310.0,5506.6,3756.6,3960.0
2020-12-17,0.0,5506.6,3556.6,3947.2
2020-12-18,0.0,5506.6,3276.6,3923.0
2020-12-19,0.0,5506.6,3126.6,3894.0
2020-12-20,0.0,5506.6,3126.6,3864.4
2020-12-21,90.0,5596.6,3216.6,3836.6
2020-12-22,120.0,5716.6,3286.6,3809.2
2020-12-23,100.0,5816.6,3386.6,3783.4
2020-12-24,30.0,5846.6,3466.6,3767.2
2020-12-25,30.0,5876.6,3526.6,3762.4
2020-12-26,0.0,5876.6,3526.6,3759.6
2020-12-27,0.0,5876.6,3526.6,3756.8
2020-12-28,10.0,5886.6,3536.6,3754.2
2020-12-29,10.0,5896.6,3546.6,3752.8
2020-12-30,30.0,5926.6,3576.6,3752.0
2020-12-31,80.0,6006.6,3806.6,3755.2
2021-01-01,-40.0,5966.6,4016.6,3760.8
2021-01-02,0.0,5966.6,4166.6,3766.2
2021-01-03,0.0,5966.6,4166.6,3775.6
2021-01-04,-100.0,5866.6,4066.6,3787.0
2021-01-05,-130.0,5736.6,3986.6,3780.8
2021-01-06,-130.0,5606.6,3856.6,3777.0
2021-01-07,-110.0,5496.6,3746.6,3772.0
2021-01-08,5.0,5501.6,3751.6,3768.1
2021-01-09,0.0,5501.6,3751.6,3765.8
2021-01-10,0.0,5501.6,3751.6,3763.5
2021-01-11,-15.0,5486.6,3736.6,3760.9
2021-01-12,-5.0,5481.6,3731.6,3757.4
2021-01-13,-8.0,5473.6,3723.6,3749.7
2021-01-14,-8.0,5465.6,3315.6,3733.5
2021-01-15,197.0,5662.6,3212.6,3715.0
2021-01-16,0.0,5662.6,3012.6,3691.8
2021-01-17,0.0,5662.6,3012.6,3668.5
2021-01-18,-3.0,5659.6,2809.6,3641.1
2021-01-19,75.0,5734.6,2634.6,3604.1
2021-01-20,278.0,6012.6,2812.6,3571.6
2021-01-21,248.0,6260.6,3030.6,3545.7
2021-01-22,0.0,6260.6,2790.1,3516.4
2021-01-23,-240.5,6020.1,2549.6,3484.4
2021-01-24,0.0,6020.1,2549.6,3458.5
2021-01-25,0.0,6020.1,2549.6,3438.6
2021-01-26,-78.0,5942.1,2471.6,3419.1
2021-01-27,-100.0,5842.1,2371.6,3396.8
2021-01-28,-150.0,5692.1,2321.6,3373.2
2021-01-29,98.0,5790.1,2719.6,3357.7
2021-01-30,0.0,5790.1,2919.6,3346.2
2021-01-31,0.0,5790.1,2919.6,3334.6
2021-02-01,98.0,5888.1,3217.6,3329.0
2021-02-02,78.0,5966.1,2345.6,3306.6
