date,level,yoy,yoy_ma50
2023-10-25,54280.0,4439.1,3596.1
2023-10-26,54360.0,4241.1,3611.6
2023-10-27,54031.0,3674.1,3613.2
2023-10-28,54031.0,3586.1,3607.9
2023-10-29,54031.0,3586.1,3602.6
2023-10-30,53881.0,3436.1,3594.3
2023-10-31,53900.0,3395.1,3581.0
2023-11-01,53640.8,3941.6,3574.8
2023-11-02,53410.8,3973.6,3568.5
2023-11-03,52954.8,3750.6,3562.1
2023-11-04,52954.8,3837.6,3554.6
2023-11-05,52954.8,3837.6,3547.2
2023-11-06,52314.8,3197.6,3527.0
2023-11-07,52055.8,3006.6,3502.4
2023-11-08,52138.8,3102.6,3478.8
2023-11-09,52146.8,3120.6,3451.4
2023-11-10,52306.8,3278.6,3424.9
2023-11-11,52306.8,3269.6,3394.4
2023-11-12,52306.8,3269.6,3364.3
2023-11-13,52401.8,3364.6,3336.1
2023-11-14,52472.8,3432.6,3306.6
2023-11-15,51998.8,2788.6,3263.5
2023-11-16,52173.8,2900.6,3217.8
2023-11-17,52322.8,2926.6,3167.8
2023-11-18,52322.8,2917.6,3121.2
2023-11-19,52322.8,2917.6,3078.3
2023-11-20,52414.8,3009.6,3077.4
2023-11-21,52309.8,2906.6,3075.6
2023-11-22,52769.8,3536.6,3086.5
2023-11-23,52911.8,3747.6,3104.7
2023-11-24,53223.8,4183.6,3132.2
2023-11-25,53223.8,4196.6,3161.5
2023-11-26,53223.8,4196.6,3183.9
2023-11-27,53519.8,4492.6,3212.2
2023-11-28,53615.8,4536.6,3247.3
2023-11-29,53593.8,4436.6,3284.9
2023-11-30,53737.8,4412.6,3327.0
2023-12-01,53918.4,2834.5,3343.3
2023-12-02,53918.4,2840.5,3356.2
2023-12-03,53918.4,2840.5,3372.0
2023-12-04,53484.4,2406.5,3379.2
2023-12-05,53279.4,1754.5,3373.8
2023-12-06,53081.4,1634.5,3365.8
2023-12-07,52781.4,1502.5,3355.2
2023-12-08,52859.4,1588.5,3342.6
2023-12-09,52859.4,1588.5,3315.4
2023-12-10,52859.4,1588.5,3288.1
2023-12-11,53077.4,1806.5,3265.3
2023-12-12,53281.4,2010.5,3230.3
2023-12-13,53306.4,2035.5,3185.6
2023-12-14,53205.4,1934.5,3135.5
2023-12-15,53008.4,1737.5,3085.4
2023-12-16,53008.4,1698.5,3045.9
2023-12-17,53008.4,1698.5,3008.1
2023-12-18,52967.4,1657.5,2969.6
2023-12-19,52854.4,1461.5,2930.1
2023-12-20,52874.4,1337.5,2888.9
2023-12-21,53033.4,1338.5,2836.9
2023-12-22,53364.4,1514.5,2787.7
2023-12-23,53364.4,1350.5,2739.7
2023-12-24,53364.4,1350.5,2689.9
2023-12-25,53651.4,1637.5,2645.9
2023-12-26,54000.4,1779.5,2617.6
2023-12-27,54287.4,1863.5,2594.7
2023-12-28,54466.4,1859.5,2569.8
2023-12-29,54621.4,1813.5,2543.7
2023-12-30,54621.4,1632.5,2510.8
2023-12-31,54621.4,1632.5,2478.0
2024-01-01,54022.4,1033.5,2433.3
2024-01-02,53594.4,854.5,2383.1
2024-01-03,53036.4,581.5,2326.1
2024-01-04,52451.4,323.5,2276.8
2024-01-05,52040.4,268.5,2224.1
2024-01-06,52040.4,652.5,2178.7
2024-01-07,52040.4,652.5,2133.4
2024-01-08,52000.4,612.5,2087.3
2024-01-09,51843.4,496.5,2037.0
2024-01-10,51849.4,564.5,1990.1
