date,daily_net,stock,yoy,yoy_ma50
2020-12-26,0.0,430.0,-170.0,157.0
2020-12-27,0.0,430.0,-170.0,147.2
2020-12-28,10.0,440.0,-160.0,137.6
2020-12-29,10.0,450.0,-150.0,129.2
2020-12-30,30.0,480.0,-120.0,121.4
2020-12-31,80.0,560.0,110.0,117.6
2021-01-01,-40.0,520.0,320.0,116.2
2021-01-02,0.0,520.0,470.0,114.6
2021-01-03,0.0,520.0,470.0,113.0
2021-01-04,-100.0,420.0,370.0,109.4
2021-01-05,-130.0,290.0,290.0,104.2
2021-01-06,-130.0,160.0,160.0,101.4
2021-01-07,-110.0,50.0,50.0,97.4
2021-01-08,5.0,55.0,55.0,94.5
2021-01-09,0.0,55.0,55.0,93.2
2021-01-10,0.0,55.0,55.0,91.9
2021-01-11,-15.0,40.0,40.0,90.3
2021-01-12,-5.0,35.0,35.0,87.8
2021-01-13,-8.0,27.0,27.0,81.1
2021-01-14,-8.0,19.0,-81.0,71.9
2021-01-15,-3.0,16.0,-384.0,56.4
2021-01-16,0.0,16.0,-584.0,36.2
2021-01-17,0.0,16.0,-584.0,15.9
2021-01-18,-3.0,13.0,-787.0,-8.5
2021-01-19,75.0,88.0,-962.0,-38.5
2021-01-20,278.0,366.0,-784.0,-64.0
2021-01-21,248.0,614.0,-566.0,-82.9
2021-01-22,0.0,614.0,-566.0,-100.4
2021-01-23,0.0,614.0,-566.0,-115.7
2021-01-24,0.0,614.0,-566.0,-131.1
2021-01-25,0.0,614.0,-566.0,-146.4
2021-01-26,-78.0,536.0,-644.0,-161.3
2021-01-27,-100.0,436.0,-744.0,-178.9
2021-01-28,-150.0,286.0,-794.0,-197.8
2021-01-29,98.0,384.0,-396.0,-208.7
2021-01-30,0.0,384.0,-196.0,-215.7
2021-01-31,0.0,384.0,-196.0,-222.6
2021-02-01,98.0,482.0,102.0,-223.5
2021-02-02,78.0,560.0,-770.0,-241.3
2021-02-03,-80.0,480.0,-1250.0,-267.7
2021-02-04,0.0,480.0,-1220.0,-293.3
2021-02-05,0.0,480.0,-1220.0,-314.9
2021-02-06,0.0,480.0,-1220.0,-330.9
2021-02-07,50.0,530.0,-1170.0,-342.9
2021-02-08,10.0,540.0,-1160.0,-354.7
2021-02-09,-30.0,510.0,-1190.0,-368.9
2021-02-10,-80.0,430.0,-990.0,-380.5
2021-02-11,0.0,430.0,-990.0,-394.1
2021-02-12,0.0,430.0,-990.0,-409.3
2021-02-13,0.0,430.0,-990.0,-425.7
2021-02-14,0.0,430.0,-990.0,-442.1
2021-02-15,-110.0,320.0,-1100.0,-460.7
2021-02-16,-50.0,270.0,-250.0,-462.5
2021-02-17,-20.0,250.0,-50.0,-460.5
2021-02-18,-80.0,170.0,-130.0,-460.7
2021-02-19,-80.0,90.0,-210.0,-467.1
2021-02-20,10.0,100.0,-200.0,-477.5
2021-02-21,-50.0,50.0,-250.0,-491.9
2021-02-22,10.0,60.0,-240.0,-506.1
2021-02-23,10.0,70.0,70.0,-512.1
2021-02-24,10.0,80.0,80.0,-516.3
2021-02-25,0.0,80.0,80.0,-517.9
2021-02-26,0.0,80.0,80.0,-517.3
2021-02-27,-10.0,70.0,70.0,-517.0
2021-02-28,0.0,70.0,70.0,-516.7
2021-03-01,0.0,70.0,70.0,-516.4
2021-03-02,0.0,70.0,70.0,-515.8
2021-03-03,0.0,70.0,70.0,-515.1
2021-03-04,-10.0,60.0,60.0,-514.5
2021-03-05,-10.0,50.0,50.0,-511.9
2021-03-06,0.0,50.0,50.0,-503.2
2021-03-07,0.0,50.0,50.0,-490.5
2021-03-08,0.0,50.0,50.0,-477.8
2021-03-09,0.0,50.0,50.0,-461.1
2021-03-10,0.0,50.0,50.0,-440.8
2021-03-11,0.0,50.0,50.0,-424.2
2021-03-12,0.0,50.0,50.0,-411.8
2021-03-13,0.0,50.0,50.0,-399.5
2021-03-14,0.0,50.0,50.0,-387.2
2021-03-15,0.0,50.0,50.0,-374.9
2021-03-16,0.0,50.0,50.0,-362.6
2021-03-17,0.0,50.0,50.0,-348.7
2021-03-18,0.0,50.0,50.0,-332.8
2021-03-19,0.0,50.0,50.0,-315.9
2021-03-20,0.0,50.0,50.0,-307.0
2021-03-21,0.0,50.0,50.0,-302.1
2021-03-22,0.0,50.0,50.0,-297.2
2021-03-23,0.0,50.0,50.0,-298.2
2021-03-24,0.0,50.0,50.0,-281.8
2021-03-25,0.0,50.0,50.0,-255.8
2021-03-26,0.0,50.0,50.0,-230.4
2021-03-27,0.0,50.0,50.0,-205.0
2021-03-28,0.0,50.0,50.0,-179.6
2021-03-29,0.0,50.0,50.0,-155.2
2021-03-30,0.0,50.0,0.0,-132.0
2021-03-31,0.0,50.0,-20.0,-108.6
2021-04-01,0.0,50.0,-20.0,-89.2
2021-04-02,0.0,50.0,-20.0,-69.8
2021-04-03,0.0,50.0,-20.0,-50.4
2021-04-04,0.0,50.0,-20.0,-31.0
2021-04-05,-10.0,40.0,-30.0,-11.8
2021-04-06,0.0,40.0,20.0,10.6
2021-04-07,0.0,40.0,40.0,16.4
2021-04-08,0.0,40.0,40.0,18.2
2021-04-09,0.0,40.0,40.0,21.6
2021-04-10,0.0,40.0,40.0,26.6
2021-04-11,0.0,40.0,40.0,31.4
2021-04-12,10.0,50.0,50.0,37.4
2021-04-13,0.0,50.0,50.0,43.2
2021-04-14,0.0,50.0,50.0,42.8
2021-04-15,0.0,50.0,50.0,42.2
2021-04-16,0.0,50.0,50.0,41.6
2021-04-17,0.0,50.0,50.0,41.0
2021-04-18,0.0,50.0,50.0,40.6
2021-04-19,0.0,50.0,50.0,40.2
2021-04-20,0.0,50.0,50.0,39.8
2021-04-21,0.0,50.0,50.0,39.4
2021-04-22,0.0,50.0,50.0,39.0
2021-04-23,0.0,50.0,50.0,38.8
2021-04-24,0.0,50.0,50.0,38.8
2021-04-25,10.0,60.0,60.0,39.0
2021-04-26,0.0,60.0,60.0,39.2
2021-04-27,0.0,60.0,60.0,39.4
2021-04-28,0.0,60.0,60.0,39.6
2021-04-29,0.0,60.0,60.0,39.8
2021-04-30,0.0,60.0,60.0,40.0
2021-05-01,0.0,60.0,60.0,40.2
2021-05-02,-10.0,50.0,50.0,40.2
2021-05-03,-10.0,40.0,40.0,40.0
2021-05-04,-10.0,30.0,30.0,39.6
2021-05-05,-10.0,20.0,20.0,39.0
2021-05-06,0.0,20.0,20.0,38.4
2021-05-07,0.0,20.0,20.0,37.8
2021-05-08,10.0,30.0,30.0,37.4
2021-05-09,0.0,30.0,30.0,37.0
2021-05-10,10.0,40.0,40.0,36.8
2021-05-11,10.0,50.0,50.0,36.8
2021-05-12,10.0,60.0,60.0,37.0
2021-05-13,0.0,60.0,60.0,37.2
2021-05-14,0.0,60.0,60.0,37.4
2021-05-15,-10.0,50.0,50.0,37.4
2021-05-16,0.0,50.0,50.0,37.4
2021-05-17,0.0,50.0,50.0,37.4
2021-05-18,0.0,50.0,50.0,37.4
2021-05-19,0.0,50.0,50.0,38.4
2021-05-20,0.0,50.0,50.0,39.8
2021-05-21,0.0,50.0,50.0,41.2
2021-05-22,0.0,50.0,50.0,42.6
2021-05-23,0.0,50.0,50.0,44.0
2021-05-24,0.0,50.0,50.0,45.4
2021-05-25,0.0,50.0,50.0,47.0
2021-05-26,0.0,50.0,40.0,47.4
2021-05-27,0.0,50.0,-80.0,45.0
2021-05-28,0.0,50.0,-320.0,37.8
2021-05-29,0.0,50.0,-620.0,24.6
2021-05-30,0.0,50.0,-620.0,11.4
2021-05-31,0.0,50.0,-620.0,-1.8
2021-06-01,0.0,50.0,-620.0,-15.2
2021-06-02,0.0,50.0,-610.0,-28.4
2021-06-03,0.0,50.0,-490.0,-39.2
2021-06-04,0.0,50.0,-320.0,-46.6
2021-06-05,0.0,50.0,-170.0,-51.0
2021-06-06,0.0,50.0,-170.0,-55.4
2021-06-07,0.0,50.0,-170.0,-59.8
2021-06-08,0.0,50.0,-290.0,-66.6
2021-06-09,0.0,50.0,-350.0,-74.6
2021-06-10,0.0,50.0,-410.0,-83.8
2021-06-11,0.0,50.0,-420.0,-93.2
2021-06-12,0.0,50.0,-370.0,-101.6
2021-06-13,0.0,50.0,-370.0,-110.0
2021-06-14,-10.0,40.0,-380.0,-118.8
2021-06-15,0.0,40.0,-260.0,-125.2
2021-06-16,0.0,40.0,-200.0,-130.4
2021-06-17,0.0,40.0,-140.0,-134.4
2021-06-18,0.0,40.0,-180.0,-139.2
2021-06-19,0.0,40.0,-260.0,-145.6
2021-06-20,0.0,40.0,-260.0,-152.0
2021-06-21,10.0,50.0,-250.0,-158.0
2021-06-22,0.0,50.0,-370.0,-166.2
2021-06-23,0.0,50.0,-570.0,-178.2
2021-06-24,20.0,70.0,-730.0,-193.2
2021-06-25,20.0,90.0,-660.0,-206.8
2021-06-26,0.0,90.0,-590.0,-219.0
2021-06-27,0.0,90.0,-590.0,-231.4
2021-06-28,20.0,110.0,-670.0,-245.4
2021-06-29,20.0,130.0,-610.0,-258.4
2021-06-30,20.0,150.0,-500.0,-269.4
2021-07-01,-20.0,130.0,-340.0,-277.4
2021-07-02,-20.0,110.0,-290.0,-284.4
2021-07-03,0.0,110.0,-180.0,-289.2
2021-07-04,0.0,110.0,-180.0,-293.8
2021-07-05,-20.0,90.0,-100.0,-296.8
2021-07-06,-20.0,70.0,-40.0,-298.6
2021-07-07,-20.0,50.0,50.0,-298.6
2021-07-08,0.0,50.0,50.0,-298.6
2021-07-09,0.0,50.0,50.0,-298.6
2021-07-10,0.0,50.0,50.0,-298.6
2021-07-11,0.0,50.0,50.0,-298.6
2021-07-12,0.0,50.0,50.0,-298.6
2021-07-13,0.0,50.0,0.0,-299.6
2021-07-14,0.0,50.0,-30.0,-301.2
2021-07-15,0.0,50.0,-30.0,-302.6
2021-07-16,0.0,50.0,-80.0,-302.6
2021-07-17,0.0,50.0,-280.0,-301.8
2021-07-18,0.0,50.0,-280.0,-295.0
2021-07-19,0.0,50.0,-280.0,-288.2
2021-07-20,0.0,50.0,-330.0,-282.4
2021-07-21,0.0,50.0,-310.0,-276.2
2021-07-22,0.0,50.0,-310.0,-270.2
2021-07-23,0.0,50.0,-260.0,-265.6
2021-07-24,0.0,50.0,-60.0,-260.4
2021-07-25,0.0,50.0,-60.0,-258.2
2021-07-26,0.0,50.0,-60.0,-256.0
2021-07-27,0.0,50.0,-60.0,-253.8
2021-07-28,0.0,50.0,-130.0,-250.6
2021-07-29,20.0,70.0,-140.0,-246.4
2021-07-30,20.0,90.0,-170.0,-241.6
2021-07-31,0.0,90.0,-190.0,-237.0
2021-08-01,0.0,90.0,-190.0,-233.4
2021-08-02,0.0,90.0,-190.0,-229.8
2021-08-03,0.0,90.0,-90.0,-224.0
2021-08-04,0.0,90.0,-10.0,-219.0
2021-08-05,-20.0,70.0,0.0,-215.0
2021-08-06,-20.0,50.0,30.0,-211.6
2021-08-07,0.0,50.0,40.0,-207.2
2021-08-08,0.0,50.0,40.0,-201.2
2021-08-09,0.0,50.0,40.0,-195.2
2021-08-10,0.0,50.0,30.0,-189.6
2021-08-11,0.0,50.0,-20.0,-182.6
2021-08-12,0.0,50.0,-160.0,-174.4
2021-08-13,0.0,50.0,-310.0,-166.0
2021-08-14,0.0,50.0,-450.0,-161.8
2021-08-15,0.0,50.0,-450.0,-159.0
2021-08-16,0.0,50.0,-450.0,-156.2
2021-08-17,0.0,50.0,-490.0,-152.6
2021-08-18,0.0,50.0,-540.0,-151.2
2021-08-19,0.0,50.0,-550.0,-152.2
2021-08-20,0.0,50.0,-560.0,-156.6
2021-08-21,0.0,50.0,-410.0,-159.0
2021-08-22,0.0,50.0,-410.0,-163.6
2021-08-23,0.0,50.0,-410.0,-168.2
2021-08-24,0.0,50.0,-520.0,-176.6
2021-08-25,40.0,90.0,-680.0,-189.4
2021-08-26,40.0,130.0,-690.0,-204.2
2021-08-27,40.0,170.0,-590.0,-217.0
2021-08-28,0.0,170.0,-640.0,-230.8
2021-08-29,0.0,170.0,-640.0,-244.6
2021-08-30,40.0,210.0,-600.0,-257.6
2021-08-31,40.0,250.0,-480.0,-268.2
2021-09-01,-40.0,210.0,-290.0,-274.0
2021-09-02,-40.0,170.0,-150.0,-276.4
2021-09-03,-40.0,130.0,-210.0,-280.0
2021-09-04,0.0,130.0,-260.0,-283.6
2021-09-05,0.0,130.0,-260.0,-283.2
2021-09-06,-40.0,90.0,-300.0,-283.6
2021-09-07,-40.0,50.0,-360.0,-285.2
2021-09-08,0.0,50.0,-460.0,-287.8
2021-09-09,0.0,50.0,-560.0,-292.8
2021-09-10,0.0,50.0,-580.0,-298.2
2021-09-11,0.0,50.0,-570.0,-304.4
2021-09-12,0.0,50.0,-570.0,-314.6
2021-09-13,0.0,50.0,-570.0,-324.8
2021-09-14,0.0,50.0,-550.0,-334.6
2021-09-15,0.0,50.0,-380.0,-341.0
2021-09-16,0.0,50.0,-380.0,-346.0
2021-09-17,90.0,140.0,-260.0,-348.4
2021-09-18,100.0,240.0,-240.0,-349.8
2021-09-19,0.0,240.0,-240.0,-350.8
2021-09-20,-10.0,230.0,-250.0,-352.0
2021-09-21,-10.0,220.0,-180.0,-351.8
2021-09-22,110.0,330.0,-420.0,-358.4
2021-09-23,110.0,440.0,-390.0,-366.0
2021-09-24,70.0,510.0,-330.0,-372.6
2021-09-25,-50.0,460.0,-360.0,-380.4
2021-09-26,100.0,560.0,-260.0,-386.4
2021-09-27,100.0,660.0,-180.0,-390.8
2021-09-28,100.0,760.0,-120.0,-394.0
2021-09-29,40.0,800.0,20.0,-394.2
2021-09-30,40.0,840.0,110.0,-391.6
2021-10-01,-50.0,790.0,60.0,-387.2
2021-10-02,-50.0,740.0,70.0,-379.6
2021-10-03,0.0,740.0,70.0,-369.2
2021-10-04,0.0,740.0,70.0,-358.8
2021-10-05,0.0,740.0,70.0,-348.4
2021-10-06,-60.0,680.0,160.0,-335.4
2021-10-07,-60.0,620.0,200.0,-320.6
2021-10-08,-110.0,510.0,210.0,-305.4
2021-10-09,10.0,520.0,310.0,-288.0
2021-10-10,-100.0,420.0,210.0,-275.6
