date,btcusd,sp500
2019-11-04,9412.53,3078.27001953125
2019-11-05,9322.09,3074.6201171875
2019-11-06,9341.27,3076.780029296875
2019-11-07,9198.84,3085.179931640625
2019-11-08,8763.01,3093.080078125
2019-11-09,8807.89,
2019-11-10,9032.23,
2019-11-11,8721.54,3087.010009765625
2019-11-12,8810.0,3091.840087890625
2019-11-13,8758.34,3094.0400390625
2019-11-14,8630.0,3096.6298828125
2019-11-15,8457.48,3120.4599609375
2019-11-16,8481.0,
2019-11-17,8500.01,
2019-11-18,8168.84,3122.030029296875
2019-11-19,8123.36,3120.179931640625
2019-11-20,8082.96,3108.4599609375
2019-11-21,7616.46,3103.5400390625
2019-11-22,7283.03,3110.2900390625
2019-11-23,7329.29,
2019-11-24,6908.64,
2019-11-25,7127.01,3133.639892578125
2019-11-26,7162.67,3140.52001953125
2019-11-27,7523.72,3153.6298828125
2019-11-28,7432.41,
2019-11-29,7760.0,3140.97998046875
2019-11-30,7555.92,
2019-12-01,7404.27,
2019-12-02,7305.01,3113.8701171875
2019-12-03,7302.94,3093.199951171875
2019-12-04,7198.99,3112.760009765625
2019-12-05,7393.54,3117.429931640625
2019-12-06,7540.08,3145.909912109375
2019-12-07,7502.19,
2019-12-08,7520.0,
2019-12-09,7337.51,3135.9599609375
2019-12-10,7219.37,3132.52001953125
2019-12-11,7201.23,3141.6298828125
2019-12-12,7185.91,3168.570068359375
2019-12-13,7249.9,3168.800048828125
2019-12-14,7062.91,
2019-12-15,7111.0,
2019-12-16,6877.03,3191.449951171875
2019-12-17,6616.62,3192.52001953125
2019-12-18,7285.53,3191.139892578125
2019-12-19,7149.12,3205.3701171875
2019-12-20,7190.0,3221.219970703125
2019-12-21,7143.01,
2019-12-22,7513.06,
2019-12-23,7310.79,3224.010009765625
2019-12-24,7255.01,3223.3798828125
2019-12-25,7192.12,
2019-12-26,7194.13,3239.909912109375
2019-12-27,7245.83,3240.02001953125
2019-12-28,7302.67,
2019-12-29,7384.89,
2019-12-30,7218.0,3221.2900390625
2019-12-31,7165.72,3230.780029296875
2020-01-01,7174.33,
2020-01-02,6945.02,3257.85009765625
2020-01-03,7334.45,3234.85009765625
2020-01-04,7348.63,
2020-01-05,7355.4,
2020-01-06,7764.63,3246.280029296875
2020-01-07,8158.52,3237.179931640625
2020-01-08,8045.51,3253.050048828125
2020-01-09,7813.78,3274.699951171875
2020-01-10,8198.09,3265.35009765625
2020-01-11,8020.0,
2020-01-12,8180.81,
2020-01-13,8104.5,3288.1298828125
2020-01-14,8815.69,3283.14990234375
2020-01-15,8808.81,3289.2900390625
2020-01-16,8714.76,3316.81005859375
2020-01-17,8899.42,3329.6201171875
2020-01-18,8909.32,
2020-01-19,8697.53,
2020-01-20,8628.89,
2020-01-21,8722.03,3320.7900390625
2020-01-22,8660.38,3321.75
2020-01-23,8385.22,3325.5400390625
2020-01-24,8427.26,3295.469970703125
2020-01-25,8326.81,
2020-01-26,8595.0,
2020-01-27,8895.96,3243.6298828125
2020-01-28,9394.5,3276.239990234375
2020-01-29,9288.44,3273.39990234375
2020-01-30,9503.08,3283.659912109375
2020-01-31,9334.98,3225.52001953125
2020-02-01,9380.18,
2020-02-02,9323.5,
2020-02-03,9280.49,3248.919921875
2020-02-04,9164.33,3297.590087890625
2020-02-05,9613.82,3334.68994140625
2020-02-06,9763.01,3345.780029296875
2020-02-07,9808.05,3327.7099609375
2020-02-08,9905.64,
2020-02-09,10168.35,
2020-02-10,9851.78,3352.090087890625
2020-02-11,10270.01,3357.75
2020-02-12,10351.13,3379.449951171875
2020-02-13,10236.49,3373.93994140625
2020-02-14,10371.33,3380.159912109375
2020-02-15,9911.22,
2020-02-16,9921.0,
2020-02-17,9700.0,
2020-02-18,10188.04,3370.2900390625
2020-02-19,9600.08,3386.14990234375
2020-02-20,9610.05,3373.22998046875
2020-02-21,9695.66,3337.75
2020-02-22,9668.23,
2020-02-23,9965.01,
2020-02-24,9660.0,3225.889892578125
2020-02-25,9305.0,3128.2099609375
2020-02-26,8778.3,3116.389892578125
2020-02-27,8812.49,2978.760009765625
2020-02-28,8708.89,2954.219970703125
2020-02-29,8525.07,
2020-03-01,8522.31,
2020-03-02,8915.0,3090.22998046875
2020-03-03,8757.84,3003.3701171875
2020-03-04,8760.66,3130.1201171875
2020-03-05,9070.17,3023.93994140625
2020-03-06,9158.51,2972.3701171875
2020-03-07,8901.37,
2020-03-08,8037.76,
2020-03-09,7934.52,2746.56005859375
2020-03-10,7894.68,2882.22998046875
2020-03-11,7938.05,2741.3798828125
2020-03-12,4857.1,2480.639892578125
2020-03-13,5637.6,2711.02001953125
2020-03-14,5165.25,
2020-03-15,5345.35,
2020-03-16,5037.61,2386.1298828125
2020-03-17,5331.71,2529.18994140625
2020-03-18,5413.64,2398.10009765625
2020-03-19,6186.26,2409.389892578125
2020-03-20,6206.1,2304.919921875
2020-03-21,6198.78,
2020-03-22,5818.25,
2020-03-23,6490.63,2237.39990234375
2020-03-24,6766.64,2447.330078125
2020-03-25,6690.96,2475.56005859375
2020-03-26,6758.18,2630.070068359375
2020-03-27,6372.36,2541.469970703125
2020-03-28,6251.82,
2020-03-29,5877.21,
2020-03-30,6406.4,2626.64990234375
2020-03-31,6424.35,2584.590087890625
2020-04-01,6666.11,2470.5
2020-04-02,6804.52,2526.89990234375
2020-04-03,6741.99,2488.64990234375
2020-04-04,6874.77,
2020-04-05,6778.25,
2020-04-06,7341.56,2663.679931640625
2020-04-07,7200.01,2659.409912109375
2020-04-08,7370.11,2749.97998046875
2020-04-09,7293.24,2789.820068359375
2020-04-10,6871.91,
2020-04-11,6889.65,
2020-04-12,6908.13,
2020-04-13,6861.21,2761.6298828125
2020-04-14,6877.37,2846.06005859375
2020-04-15,6624.12,2783.360107421875
2020-04-16,7112.64,2799.550048828125
2020-04-17,7037.46,2874.56005859375
2020-04-18,7261.76,
2020-04-19,7130.71,
2020-04-20,6838.19,2823.159912109375
2020-04-21,6853.68,2736.56005859375
2020-04-22,7136.84,2799.31005859375
2020-04-23,7488.83,2797.800048828125
2020-04-24,7514.64,2836.739990234375
2020-04-25,7547.61,
2020-04-26,7706.4,
2020-04-27,7789.77,2878.47998046875
2020-04-28,7755.01,2863.389892578125
2020-04-29,8793.75,2939.510009765625
2020-04-30,8624.28,2912.429931640625
2020-05-01,8829.42,2830.7099609375
2020-05-02,8985.58,
2020-05-03,8909.95,
2020-05-04,8883.53,2842.739990234375
2020-05-05,9028.79,2868.43994140625
2020-05-06,9155.79,2848.419921875
2020-05-07,10004.77,2881.18994140625
2020-05-08,9810.0,2929.800048828125
2020-05-09,9537.21,
2020-05-10,8729.86,
2020-05-11,8572.4,2930.18994140625
2020-05-12,8821.42,2870.1201171875
2020-05-13,9321.26,2820.0
2020-05-14,9795.34,2852.5
2020-05-15,9312.1,2863.699951171875
2020-05-16,9383.16,
2020-05-17,9676.63,
2020-05-18,9728.52,2953.909912109375
2020-05-19,9783.76,2922.93994140625
2020-05-20,9509.41,2971.610107421875
2020-05-21,9061.96,2948.510009765625
2020-05-22,9168.84,2955.449951171875
2020-05-23,9181.76,
2020-05-24,8715.73,
2020-05-25,8899.31,
2020-05-26,8844.42,2991.77001953125
2020-05-27,9208.53,3036.1298828125
2020-05-28,9580.19,3029.72998046875
2020-05-29,9423.84,3044.31005859375
2020-05-30,9700.33,
2020-05-31,9446.57,
2020-06-01,10208.96,3055.72998046875
2020-06-02,9522.46,3080.820068359375
2020-06-03,9668.07,3122.8701171875
2020-06-04,9788.03,3112.35009765625
2020-06-05,9613.21,3193.929931640625
2020-06-06,9671.7,
2020-06-07,9750.12,
2020-06-08,9781.51,3232.389892578125
2020-06-09,9779.41,3207.179931640625
2020-06-10,9894.04,3190.139892578125
2020-06-11,9268.16,3002.10009765625
2020-06-12,9464.17,3041.31005859375
2020-06-13,9475.0,
2020-06-14,9325.0,
2020-06-15,9432.53,3066.590087890625
2020-06-16,9526.25,3124.739990234375
2020-06-17,9457.51,3113.489990234375
2020-06-18,9376.14,3115.340087890625
2020-06-19,9301.91,3097.739990234375
2020-06-20,9355.74,
2020-06-21,9286.14,
2020-06-22,9690.74,3117.860107421875
2020-06-23,9623.56,3131.2900390625
2020-06-24,9285.91,3050.330078125
2020-06-25,9243.51,3083.760009765625
2020-06-26,9155.42,3009.050048828125
2020-06-27,9002.46,
2020-06-28,9113.24,
2020-06-29,9184.45,3053.239990234375
2020-06-30,9136.2,3100.2900390625
2020-07-01,9239.97,3115.860107421875
2020-07-02,9091.53,3130.010009765625
2020-07-03,9063.87,
2020-07-04,9138.51,
2020-07-05,9074.39,
